Time,Source,Destination,Protocol,Length
1757861980.45086,13.69.239.78,192.168.75.10,TCP,1454
1757861980.45086,13.69.239.78,192.168.75.10,TCP,1454
1757861980.45086,13.69.239.78,192.168.75.10,TLS,811
1757861980.451077,192.168.75.10,13.69.239.78,TCP,54
1757861980.451176,192.168.75.10,13.69.239.78,TCP,54
1757861980.451244,192.168.75.10,13.69.239.78,TCP,54
1757861980.451302,192.168.75.10,13.69.239.78,TCP,54
1757861980.45136,192.168.75.10,13.69.239.78,TCP,54
1757861980.456817,192.168.75.10,13.69.239.78,TLS,128
1757861980.45754,192.168.75.10,13.69.239.78,TLS,1183
1757861980.457663,192.168.75.10,13.69.239.78,TLS,1454
1757861980.457663,192.168.75.10,13.69.239.78,TLS,487
1757861980.709826,192.168.75.71,192.168.75.10,TCP,74
1757861980.709953,192.168.75.10,192.168.75.71,TCP,54
1757861980.963272,13.69.239.78,192.168.75.10,TCP,54
1757861980.963272,13.69.239.78,192.168.75.10,TCP,54
1757861980.963486,13.69.239.78,192.168.75.10,TLS,157
1757861980.963486,13.69.239.78,192.168.75.10,TLS,500
1757861980.963664,192.168.75.10,13.69.239.78,TCP,54
1757861980.963855,192.168.75.10,13.69.239.78,TCP,54
1757861980.964082,192.168.75.71,192.168.75.10,TCP,74
1757861980.964119,192.168.75.10,192.168.75.71,TCP,54
1757861981.719747,192.168.75.71,192.168.75.10,TCP,74
1757861981.71986,192.168.75.10,192.168.75.71,TCP,74
1757861981.726845,192.168.75.71,192.168.75.10,TCP,66
1757861981.726845,192.168.75.71,192.168.75.10,TCP,76
1757861981.727292,192.168.75.10,192.168.75.71,TCP,77
1757861981.730176,192.168.75.71,192.168.75.10,TCP,66
1757861981.730176,192.168.75.71,192.168.75.10,TCP,120
1757861981.730351,192.168.75.10,192.168.75.71,TCP,119
1757861981.730454,192.168.75.10,192.168.75.71,TCP,94
1757861981.734925,192.168.75.71,192.168.75.10,TCP,66
1757861981.734925,192.168.75.71,192.168.75.10,TCP,1514
1757861981.735672,192.168.75.71,192.168.75.10,TCP,1514
1757861981.735672,192.168.75.71,192.168.75.10,TCP,1514
1757861981.735722,192.168.75.10,192.168.75.71,TCP,66
1757861981.73582,192.168.75.71,192.168.75.10,TCP,1514
1757861981.735845,192.168.75.10,192.168.75.71,TCP,66
1757861981.738179,192.168.75.71,192.168.75.10,TCP,1514
1757861981.738179,192.168.75.71,192.168.75.10,TCP,1514
1757861981.738238,192.168.75.10,192.168.75.71,TCP,66
1757861981.738606,192.168.75.71,192.168.75.10,TCP,1514
1757861981.738606,192.168.75.71,192.168.75.10,TCP,1514
1757861981.738675,192.168.75.10,192.168.75.71,TCP,66
1757861981.739211,192.168.75.71,192.168.75.10,TCP,1514
1757861981.739211,192.168.75.71,192.168.75.10,TCP,1514
1757861981.739258,192.168.75.10,192.168.75.71,TCP,66
1757861981.742883,192.168.75.71,192.168.75.10,TCP,1514
1757861981.742883,192.168.75.71,192.168.75.10,TCP,1514
1757861981.742957,192.168.75.10,192.168.75.71,TCP,66
1757861981.743326,192.168.75.71,192.168.75.10,TCP,1514
1757861981.743326,192.168.75.71,192.168.75.10,TCP,1514
1757861981.743374,192.168.75.10,192.168.75.71,TCP,66
1757861981.753235,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753235,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753338,192.168.75.10,192.168.75.71,TCP,66
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753562,192.168.75.71,192.168.75.10,TCP,1514
1757861981.753855,192.168.75.10,192.168.75.71,TCP,66
1757861981.7564,192.168.75.71,192.168.75.10,TCP,1514
1757861981.7564,192.168.75.71,192.168.75.10,TCP,1514
1757861981.756466,192.168.75.10,192.168.75.71,TCP,66
1757861981.75697,192.168.75.71,192.168.75.10,TCP,1514
1757861981.75697,192.168.75.71,192.168.75.10,TCP,1514
1757861981.757056,192.168.75.10,192.168.75.71,TCP,66
1757861981.766077,192.168.75.71,192.168.75.10,TCP,1514
1757861981.766077,192.168.75.71,192.168.75.10,TCP,1514
1757861981.76619,192.168.75.10,192.168.75.71,TCP,66
1757861981.766645,192.168.75.71,192.168.75.10,TCP,1514
1757861981.766645,192.168.75.71,192.168.75.10,TCP,1514
1757861981.766724,192.168.75.10,192.168.75.71,TCP,66
1757861981.766886,192.168.75.71,192.168.75.10,TCP,1514
1757861981.766886,192.168.75.71,192.168.75.10,TCP,1514
1757861981.766925,192.168.75.10,192.168.75.71,TCP,66
1757861981.767209,192.168.75.71,192.168.75.10,TCP,1514
1757861981.767209,192.168.75.71,192.168.75.10,TCP,1514
1757861981.767285,192.168.75.10,192.168.75.71,TCP,66
1757861981.767517,192.168.75.71,192.168.75.10,TCP,1514
1757861981.767517,192.168.75.71,192.168.75.10,TCP,1514
1757861981.767588,192.168.75.10,192.168.75.71,TCP,66
1757861981.767935,192.168.75.71,192.168.75.10,TCP,1514
1757861981.767935,192.168.75.71,192.168.75.10,TCP,1514
1757861981.768023,192.168.75.10,192.168.75.71,TCP,66
1757861981.76839,192.168.75.71,192.168.75.10,TCP,1514
1757861981.76839,192.168.75.71,192.168.75.10,TCP,1514
1757861981.76846,192.168.75.10,192.168.75.71,TCP,66
1757861981.768666,192.168.75.71,192.168.75.10,TCP,1514
1757861981.768666,192.168.75.71,192.168.75.10,TCP,1514
1757861981.768699,192.168.75.10,192.168.75.71,TCP,66
1757861981.769015,192.168.75.71,192.168.75.10,TCP,1514
1757861981.769015,192.168.75.71,192.168.75.10,TCP,1514
1757861981.769057,192.168.75.10,192.168.75.71,TCP,66
1757861981.769437,192.168.75.71,192.168.75.10,TCP,1514
1757861981.769437,192.168.75.71,192.168.75.10,TCP,1514
1757861981.769535,192.168.75.10,192.168.75.71,TCP,66
1757861981.769785,192.168.75.71,192.168.75.10,TCP,1514
1757861981.769785,192.168.75.71,192.168.75.10,TCP,1514
1757861981.769831,192.168.75.10,192.168.75.71,TCP,66
1757861981.770248,192.168.75.71,192.168.75.10,TCP,1514
1757861981.770248,192.168.75.71,192.168.75.10,TCP,1514
1757861981.770313,192.168.75.10,192.168.75.71,TCP,66
1757861981.77053,192.168.75.71,192.168.75.10,TCP,1514
1757861981.77053,192.168.75.71,192.168.75.10,TCP,1514
1757861981.770578,192.168.75.10,192.168.75.71,TCP,66
1757861981.770914,192.168.75.71,192.168.75.10,TCP,1514
1757861981.770976,192.168.75.71,192.168.75.10,TCP,1514
1757861981.771005,192.168.75.10,192.168.75.71,TCP,66
1757861981.771225,192.168.75.71,192.168.75.10,TCP,1514
1757861981.771225,192.168.75.71,192.168.75.10,TCP,1514
1757861981.771296,192.168.75.10,192.168.75.71,TCP,66
1757861981.771729,192.168.75.71,192.168.75.10,TCP,1514
1757861981.771729,192.168.75.71,192.168.75.10,TCP,1514
1757861981.77178,192.168.75.10,192.168.75.71,TCP,66
1757861981.772056,192.168.75.71,192.168.75.10,TCP,1514
1757861981.772056,192.168.75.71,192.168.75.10,TCP,1514
1757861981.772117,192.168.75.10,192.168.75.71,TCP,66
1757861981.772497,192.168.75.71,192.168.75.10,TCP,1514
1757861981.772497,192.168.75.71,192.168.75.10,TCP,1514
1757861981.772577,192.168.75.10,192.168.75.71,TCP,66
1757861981.772942,192.168.75.71,192.168.75.10,TCP,1514
1757861981.773274,192.168.75.71,192.168.75.10,TCP,1514
1757861981.773331,192.168.75.10,192.168.75.71,TCP,66
1757861981.79536,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795589,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795702,192.168.75.10,192.168.75.71,TCP,66
1757861981.795924,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795924,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795924,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795924,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795924,192.168.75.71,192.168.75.10,TCP,1514
1757861981.795924,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796068,192.168.75.10,192.168.75.71,TCP,66
1757861981.796252,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796252,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796252,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796252,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796323,192.168.75.10,192.168.75.71,TCP,66
1757861981.79643,192.168.75.71,192.168.75.10,TCP,1514
1757861981.79643,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796478,192.168.75.10,192.168.75.71,TCP,66
1757861981.796664,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796664,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796711,192.168.75.10,192.168.75.71,TCP,66
